"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"Jared Shuster","ATL","0","1","0","2","2","8.2","5.19","9.35","0.00",".387","61.9%","32.3%","0.0%","91.2","8.31","7.85","5.35","8.09","0.0","27472","694363"
"Ryan Brasier","BOS","1","0","1","14","0","14.0","7.71","5.14","0.64",".326","46.6%","27.3%","5.3%","95.5","8.36","6.84","4.74","5.96","0.0","5615","518489"
"Kyle Muller","OAK","0","2","0","6","6","28.2","6.28","4.71","1.26",".367","71.4%","47.0%","14.3%","93.3","6.28","7.47","5.48","5.21","0.0","20167","666205"
"Cole Irvin","BAL","0","2","0","3","3","12.2","9.24","5.68","1.42",".385","47.4%","29.3%","11.1%","91.9","10.66","8.45","5.52","5.72","0.0","19244","608344"
"Casey Legumina","CIN","1","0","0","3","0","5.1","8.44","3.38","1.69",".182","100.0%","66.7%","33.3%","95.3","1.69","1.68","5.07","3.53","0.0","25921","668984"
"Edward Cabrera","MIA","2","2","0","6","6","27.0","12.00","8.33","1.33",".295","79.7%","58.5%","20.0%","96.5","4.67","4.21","5.42","4.67","0.0","21690","665795"
"Chase Silseth","LAA","0","0","0","2","0","3.0","6.00","9.00","0.00",".000","100.0%","83.3%","0.0%","96.1","0.00","3.11","5.05","5.58","0.0","30074","681217"
"Taylor Hearn","TEX","0","0","0","4","0","7.0","9.00","5.14","1.29",".364","43.1%","21.7%","12.5%","95.9","10.29","7.95","4.95","4.91","0.0","18325","621368"
"Yerry Rodriguez","TEX","0","0","0","1","0","1.0","9.00","18.00","0.00",".500","75.0%","75.0%","0.0%","98.0","9.00","","7.38","7.38","0.0","21955","666720"
"Zach Pop","TOR","1","1","0","13","0","12.1","9.49","3.65","1.46",".185","54.3%","34.5%","18.2%","","4.38","3.63","4.60","3.91","0.0","20185","647315"
"Andrew Vasquez","PHI","1","0","0","8","0","12.1","5.11","4.38","0.73",".237","96.2%","47.4%","7.7%","","1.46","3.84","5.01","5.62","0.0","19482","607755"
"Cole Sands","MIN","0","0","0","2","0","4.0","6.75","0.00","2.25",".385","100.0%","42.9%","16.7%","93.8","2.25","7.56","5.13","4.26","0.0","21461","663485"
